,yards_gained,home_team,away_team,quarter_seconds_remaining,qtr,down,yardline_100,ydstogo,posteam,defteam,score_differential
2,19.0,NYJ,BAL,896,1,1.0,78.0,10,NYJ,BAL,0.0
3,0.0,NYJ,BAL,869,1,1.0,59.0,10,NYJ,BAL,0.0
4,5.0,NYJ,BAL,865,1,2.0,59.0,10,NYJ,BAL,0.0
5,0.0,NYJ,BAL,841,1,3.0,54.0,5,NYJ,BAL,0.0
6,0.0,NYJ,BAL,833,1,4.0,64.0,15,NYJ,BAL,0.0
7,4.0,NYJ,BAL,822,1,1.0,72.0,10,BAL,NYJ,0.0
8,4.0,NYJ,BAL,801,1,2.0,68.0,6,BAL,NYJ,0.0
9,4.0,NYJ,BAL,761,1,3.0,64.0,2,BAL,NYJ,0.0
10,0.0,NYJ,BAL,721,1,1.0,60.0,10,BAL,NYJ,0.0
11,8.0,NYJ,BAL,679,1,2.0,60.0,10,BAL,NYJ,0.0
12,1.0,NYJ,BAL,640,1,3.0,52.0,2,BAL,NYJ,0.0
14,0.0,NYJ,BAL,596,1,4.0,51.0,1,BAL,NYJ,0.0
15,-2.0,NYJ,BAL,589,1,1.0,89.0,10,NYJ,BAL,0.0
16,3.0,NYJ,BAL,551,1,2.0,91.0,12,NYJ,BAL,0.0
17,0.0,NYJ,BAL,511,1,3.0,88.0,9,NYJ,BAL,0.0
18,1.0,NYJ,BAL,507,1,1.0,83.0,10,NYJ,BAL,0.0
19,0.0,NYJ,BAL,471,1,2.0,82.0,9,NYJ,BAL,0.0
20,0.0,NYJ,BAL,436,1,3.0,82.0,9,NYJ,BAL,0.0
21,0.0,NYJ,BAL,432,1,4.0,82.0,9,NYJ,BAL,0.0
22,0.0,NYJ,BAL,425,1,1.0,66.0,10,BAL,NYJ,0.0
23,1.0,NYJ,BAL,422,1,2.0,66.0,10,BAL,NYJ,0.0
24,0.0,NYJ,BAL,373,1,3.0,65.0,9,BAL,NYJ,0.0
25,0.0,NYJ,BAL,368,1,4.0,65.0,9,BAL,NYJ,0.0
26,24.0,NYJ,BAL,361,1,1.0,83.0,10,NYJ,BAL,0.0
27,1.0,NYJ,BAL,321,1,1.0,59.0,10,NYJ,BAL,0.0
28,0.0,NYJ,BAL,307,1,1.0,68.0,19,NYJ,BAL,0.0
29,-1.0,NYJ,BAL,296,1,1.0,13.0,10,BAL,NYJ,0.0
30,8.0,NYJ,BAL,248,1,2.0,14.0,11,BAL,NYJ,0.0
31,0.0,NYJ,BAL,204,1,3.0,6.0,3,BAL,NYJ,0.0
32,0.0,NYJ,BAL,199,1,4.0,6.0,3,BAL,NYJ,0.0
34,0.0,NYJ,BAL,196,1,1.0,75.0,10,NYJ,BAL,-3.0
35,0.0,NYJ,BAL,191,1,2.0,75.0,10,NYJ,BAL,-3.0
36,9.0,NYJ,BAL,187,1,3.0,75.0,10,NYJ,BAL,-3.0
37,0.0,NYJ,BAL,120,1,4.0,66.0,1,NYJ,BAL,-3.0
38,11.0,NYJ,BAL,113,1,1.0,84.0,10,BAL,NYJ,3.0
39,2.0,NYJ,BAL,72,1,1.0,73.0,10,BAL,NYJ,3.0
40,3.0,NYJ,BAL,25,1,2.0,71.0,8,BAL,NYJ,3.0
42,0.0,NYJ,BAL,900,2,3.0,68.0,5,BAL,NYJ,3.0
43,0.0,NYJ,BAL,896,2,4.0,68.0,5,BAL,NYJ,3.0
44,15.0,NYJ,BAL,885,2,1.0,71.0,10,NYJ,BAL,-3.0
45,11.0,NYJ,BAL,858,2,1.0,56.0,10,NYJ,BAL,-3.0
46,4.0,NYJ,BAL,817,2,1.0,45.0,10,NYJ,BAL,-3.0
47,8.0,NYJ,BAL,781,2,2.0,41.0,6,NYJ,BAL,-3.0
48,0.0,NYJ,BAL,740,2,1.0,33.0,10,NYJ,BAL,-3.0
49,6.0,NYJ,BAL,700,2,2.0,33.0,10,NYJ,BAL,-3.0
50,0.0,NYJ,BAL,660,2,3.0,27.0,4,NYJ,BAL,-3.0
51,0.0,NYJ,BAL,655,2,4.0,27.0,4,NYJ,BAL,-3.0
52,5.0,NYJ,BAL,651,2,1.0,65.0,10,BAL,NYJ,3.0
53,11.0,NYJ,BAL,617,2,2.0,60.0,5,BAL,NYJ,3.0
54,0.0,NYJ,BAL,583,2,1.0,49.0,10,BAL,NYJ,3.0
55,-2.0,NYJ,BAL,539,2,2.0,49.0,10,BAL,NYJ,3.0
56,0.0,NYJ,BAL,496,2,3.0,51.0,12,BAL,NYJ,3.0
57,0.0,NYJ,BAL,488,2,4.0,51.0,12,BAL,NYJ,3.0
58,14.0,NYJ,BAL,481,2,1.0,89.0,10,NYJ,BAL,-3.0
59,5.0,NYJ,BAL,456,2,1.0,75.0,10,NYJ,BAL,-3.0
60,6.0,NYJ,BAL,414,2,2.0,70.0,5,NYJ,BAL,-3.0
61,-6.0,NYJ,BAL,377,2,1.0,64.0,10,NYJ,BAL,-3.0
62,-1.0,NYJ,BAL,332,2,2.0,70.0,16,NYJ,BAL,-3.0
63,0.0,NYJ,BAL,295,2,3.0,71.0,17,NYJ,BAL,-3.0
64,0.0,NYJ,BAL,290,2,4.0,71.0,17,NYJ,BAL,-3.0
65,0.0,NYJ,BAL,281,2,1.0,62.0,10,BAL,NYJ,3.0
66,0.0,NYJ,BAL,275,2,1.0,30.0,10,BAL,NYJ,3.0
67,5.0,NYJ,BAL,269,2,2.0,30.0,10,BAL,NYJ,3.0
68,25.0,NYJ,BAL,231,2,3.0,25.0,5,BAL,NYJ,3.0
71,5.0,NYJ,BAL,225,2,1.0,75.0,10,NYJ,BAL,-10.0
72,22.0,NYJ,BAL,194,2,2.0,70.0,5,NYJ,BAL,-10.0
73,3.0,NYJ,BAL,154,2,1.0,48.0,10,NYJ,BAL,-10.0
75,13.0,NYJ,BAL,120,2,2.0,45.0,7,NYJ,BAL,-10.0
76,5.0,NYJ,BAL,86,2,1.0,32.0,10,NYJ,BAL,-10.0
78,0.0,NYJ,BAL,80,2,2.0,27.0,5,NYJ,BAL,-10.0
80,2.0,NYJ,BAL,76,2,3.0,27.0,5,NYJ,BAL,-10.0
82,0.0,NYJ,BAL,28,2,4.0,27.0,5,NYJ,BAL,-10.0
84,3.0,NYJ,BAL,24,2,1.0,75.0,10,BAL,NYJ,7.0
87,2.0,NYJ,BAL,900,3,1.0,75.0,10,BAL,NYJ,7.0
88,0.0,NYJ,BAL,862,3,2.0,73.0,8,BAL,NYJ,7.0
89,8.0,NYJ,BAL,855,3,3.0,73.0,8,BAL,NYJ,7.0
90,1.0,NYJ,BAL,814,3,1.0,65.0,10,BAL,NYJ,7.0
91,0.0,NYJ,BAL,778,3,2.0,64.0,9,BAL,NYJ,7.0
92,0.0,NYJ,BAL,770,3,3.0,64.0,9,BAL,NYJ,7.0
93,0.0,NYJ,BAL,765,3,4.0,64.0,9,BAL,NYJ,7.0
94,-5.0,NYJ,BAL,758,3,1.0,80.0,10,NYJ,BAL,-7.0
95,0.0,NYJ,BAL,716,3,2.0,85.0,15,NYJ,BAL,-7.0
96,9.0,NYJ,BAL,676,3,3.0,85.0,15,NYJ,BAL,-7.0
97,0.0,NYJ,BAL,630,3,4.0,76.0,6,NYJ,BAL,-7.0
98,15.0,NYJ,BAL,624,3,1.0,44.0,10,BAL,NYJ,7.0
99,6.0,NYJ,BAL,589,3,1.0,29.0,10,BAL,NYJ,7.0
100,6.0,NYJ,BAL,553,3,2.0,23.0,4,BAL,NYJ,7.0
101,-1.0,NYJ,BAL,509,3,1.0,17.0,10,BAL,NYJ,7.0
102,1.0,NYJ,BAL,483,3,2.0,18.0,11,BAL,NYJ,7.0
103,17.0,NYJ,BAL,440,3,3.0,17.0,10,BAL,NYJ,7.0
106,1.0,NYJ,BAL,434,3,1.0,75.0,10,NYJ,BAL,-14.0
107,0.0,NYJ,BAL,398,3,2.0,74.0,9,NYJ,BAL,-14.0
108,0.0,NYJ,BAL,390,3,3.0,74.0,9,NYJ,BAL,-14.0
109,2.0,NYJ,BAL,366,3,1.0,69.0,10,NYJ,BAL,-14.0
110,6.0,NYJ,BAL,331,3,2.0,67.0,8,NYJ,BAL,-14.0
111,0.0,NYJ,BAL,294,3,3.0,61.0,2,NYJ,BAL,-14.0
112,0.0,NYJ,BAL,288,3,4.0,61.0,2,NYJ,BAL,-14.0
113,0.0,NYJ,BAL,277,3,1.0,88.0,10,BAL,NYJ,14.0
114,15.0,NYJ,BAL,274,3,2.0,88.0,10,BAL,NYJ,14.0
115,8.0,NYJ,BAL,231,3,1.0,73.0,10,BAL,NYJ,14.0
116,10.0,NYJ,BAL,192,3,2.0,65.0,2,BAL,NYJ,14.0
117,55.0,NYJ,BAL,134,3,1.0,55.0,10,BAL,NYJ,14.0
120,17.0,NYJ,BAL,121,3,1.0,91.0,10,NYJ,BAL,-21.0
121,8.0,NYJ,BAL,85,3,1.0,74.0,10,NYJ,BAL,-21.0
122,2.0,NYJ,BAL,63,3,2.0,66.0,2,NYJ,BAL,-21.0
123,0.0,NYJ,BAL,38,3,1.0,64.0,10,NYJ,BAL,-21.0
124,12.0,NYJ,BAL,33,3,2.0,64.0,10,NYJ,BAL,-21.0
125,12.0,NYJ,BAL,8,3,1.0,52.0,10,NYJ,BAL,-21.0
127,15.0,NYJ,BAL,900,4,1.0,40.0,10,NYJ,BAL,-21.0
128,3.0,NYJ,BAL,878,4,1.0,25.0,10,NYJ,BAL,-21.0
129,6.0,NYJ,BAL,853,4,2.0,22.0,7,NYJ,BAL,-21.0
130,8.0,NYJ,BAL,843,4,1.0,85.0,10,BAL,NYJ,21.0
131,0.0,NYJ,BAL,797,4,2.0,77.0,2,BAL,NYJ,21.0
132,4.0,NYJ,BAL,769,4,2.0,87.0,12,BAL,NYJ,21.0
133,17.0,NYJ,BAL,721,4,3.0,83.0,8,BAL,NYJ,21.0
134,4.0,NYJ,BAL,673,4,1.0,66.0,10,BAL,NYJ,21.0
135,0.0,NYJ,BAL,625,4,2.0,62.0,6,BAL,NYJ,21.0
136,0.0,NYJ,BAL,618,4,3.0,62.0,6,BAL,NYJ,21.0
137,0.0,NYJ,BAL,615,4,4.0,62.0,6,BAL,NYJ,21.0
138,17.0,NYJ,BAL,606,4,1.0,68.0,10,NYJ,BAL,-21.0
139,0.0,NYJ,BAL,585,4,1.0,51.0,10,NYJ,BAL,-21.0
140,6.0,NYJ,BAL,581,4,2.0,51.0,10,NYJ,BAL,-21.0
141,8.0,NYJ,BAL,545,4,3.0,45.0,4,NYJ,BAL,-21.0
142,0.0,NYJ,BAL,524,4,1.0,37.0,10,NYJ,BAL,-21.0
143,9.0,NYJ,BAL,520,4,2.0,37.0,10,NYJ,BAL,-21.0
144,0.0,NYJ,BAL,490,4,3.0,28.0,1,NYJ,BAL,-21.0
145,7.0,NYJ,BAL,452,4,4.0,28.0,1,NYJ,BAL,-21.0
146,0.0,NYJ,BAL,428,4,1.0,21.0,10,NYJ,BAL,-21.0
147,9.0,NYJ,BAL,419,4,1.0,31.0,20,NYJ,BAL,-21.0
148,5.0,NYJ,BAL,398,4,2.0,22.0,11,NYJ,BAL,-21.0
149,3.0,NYJ,BAL,359,4,3.0,17.0,6,NYJ,BAL,-21.0
150,4.0,NYJ,BAL,317,4,4.0,14.0,3,NYJ,BAL,-21.0
151,0.0,NYJ,BAL,293,4,1.0,10.0,10,NYJ,BAL,-21.0
152,4.0,NYJ,BAL,289,4,2.0,10.0,10,NYJ,BAL,-21.0
153,0.0,NYJ,BAL,268,4,3.0,6.0,6,NYJ,BAL,-21.0
154,0.0,NYJ,BAL,262,4,4.0,6.0,6,NYJ,BAL,-21.0
155,0.0,NYJ,BAL,257,4,1.0,93.0,10,BAL,NYJ,21.0
157,7.0,NYJ,BAL,251,4,1.0,97.0,14,BAL,NYJ,21.0
158,1.0,NYJ,BAL,210,4,2.0,90.0,7,BAL,NYJ,21.0
159,0.0,NYJ,BAL,169,4,3.0,89.0,6,BAL,NYJ,21.0
160,0.0,NYJ,BAL,162,4,1.0,43.0,10,NYJ,BAL,-21.0
161,16.0,NYJ,BAL,157,4,2.0,43.0,10,NYJ,BAL,-21.0
162,5.0,NYJ,BAL,151,4,1.0,27.0,10,NYJ,BAL,-21.0
163,0.0,NYJ,BAL,131,4,2.0,22.0,5,NYJ,BAL,-21.0
164,0.0,NYJ,BAL,127,4,3.0,22.0,5,NYJ,BAL,-21.0
166,5.0,NYJ,BAL,120,4,1.0,17.0,10,NYJ,BAL,-21.0
167,0.0,NYJ,BAL,98,4,2.0,12.0,5,NYJ,BAL,-21.0
168,0.0,NYJ,BAL,93,4,3.0,12.0,5,NYJ,BAL,-21.0
169,0.0,NYJ,BAL,82,4,4.0,12.0,5,NYJ,BAL,-21.0
170,19.0,NYJ,BAL,78,4,4.0,22.0,15,NYJ,BAL,-21.0
171,0.0,NYJ,BAL,71,4,1.0,3.0,3,NYJ,BAL,-21.0
172,0.0,NYJ,BAL,67,4,2.0,3.0,3,NYJ,BAL,-21.0
173,3.0,NYJ,BAL,64,4,3.0,3.0,3,NYJ,BAL,-21.0
176,-1.0,NYJ,BAL,59,4,1.0,42.0,10,BAL,NYJ,15.0
177,-1.0,NYJ,BAL,17,4,2.0,43.0,11,BAL,NYJ,15.0
181,6.0,LA,BUF,900,1,1.0,75.0,10,BUF,LA,0.0
182,7.0,LA,BUF,869,1,2.0,69.0,4,BUF,LA,0.0
183,7.0,LA,BUF,834,1,1.0,62.0,10,BUF,LA,0.0
184,6.0,LA,BUF,795,1,2.0,55.0,3,BUF,LA,0.0
185,2.0,LA,BUF,753,1,1.0,49.0,10,BUF,LA,0.0
186,12.0,LA,BUF,714,1,2.0,47.0,8,BUF,LA,0.0
187,1.0,LA,BUF,680,1,1.0,35.0,10,BUF,LA,0.0
188,8.0,LA,BUF,642,1,2.0,34.0,9,BUF,LA,0.0
189,26.0,LA,BUF,603,1,3.0,26.0,1,BUF,LA,0.0
192,5.0,LA,BUF,592,1,1.0,83.0,10,LA,BUF,-7.0
193,0.0,LA,BUF,568,1,2.0,78.0,5,LA,BUF,-7.0
194,2.0,LA,BUF,544,1,2.0,83.0,10,LA,BUF,-7.0
195,23.0,LA,BUF,505,1,3.0,81.0,8,LA,BUF,-7.0
196,1.0,LA,BUF,465,1,1.0,58.0,10,LA,BUF,-7.0
197,10.0,LA,BUF,443,1,2.0,57.0,9,LA,BUF,-7.0
198,4.0,LA,BUF,408,1,1.0,47.0,10,LA,BUF,-7.0
199,-8.0,LA,BUF,381,1,2.0,43.0,6,LA,BUF,-7.0
200,6.0,LA,BUF,353,1,3.0,51.0,14,LA,BUF,-7.0
201,0.0,LA,BUF,314,1,4.0,45.0,8,LA,BUF,-7.0
202,7.0,LA,BUF,306,1,1.0,91.0,10,BUF,LA,7.0
203,-1.0,LA,BUF,266,1,2.0,84.0,3,BUF,LA,7.0
204,10.0,LA,BUF,226,1,3.0,85.0,4,BUF,LA,7.0
205,11.0,LA,BUF,190,1,1.0,75.0,10,BUF,LA,7.0
206,12.0,LA,BUF,152,1,1.0,64.0,10,BUF,LA,7.0
207,5.0,LA,BUF,113,1,1.0,52.0,10,BUF,LA,7.0
208,3.0,LA,BUF,85,1,1.0,32.0,10,BUF,LA,7.0
209,0.0,LA,BUF,45,1,2.0,29.0,7,BUF,LA,7.0
210,0.0,LA,BUF,39,1,1.0,76.0,10,LA,BUF,-7.0
211,6.0,LA,BUF,17,1,2.0,76.0,10,LA,BUF,-7.0
213,1.0,LA,BUF,900,2,3.0,70.0,4,LA,BUF,-7.0
214,0.0,LA,BUF,860,2,4.0,69.0,3,LA,BUF,-7.0
215,2.0,LA,BUF,848,2,1.0,68.0,10,BUF,LA,7.0
216,2.0,LA,BUF,816,2,2.0,66.0,8,BUF,LA,7.0
217,0.0,LA,BUF,804,2,1.0,36.0,10,LA,BUF,-7.0
218,0.0,LA,BUF,777,2,2.0,36.0,10,LA,BUF,-7.0
219,5.0,LA,BUF,775,2,1.0,68.0,10,BUF,LA,7.0
220,3.0,LA,BUF,746,2,2.0,63.0,5,BUF,LA,7.0
221,10.0,LA,BUF,704,2,3.0,60.0,2,BUF,LA,7.0
222,21.0,LA,BUF,665,2,1.0,50.0,10,BUF,LA,7.0
223,4.0,LA,BUF,621,2,1.0,29.0,10,BUF,LA,7.0
224,2.0,LA,BUF,577,2,2.0,25.0,6,BUF,LA,7.0
225,0.0,LA,BUF,535,2,3.0,23.0,4,BUF,LA,7.0
226,0.0,LA,BUF,531,2,4.0,23.0,4,BUF,LA,7.0
228,4.0,LA,BUF,528,2,1.0,60.0,10,LA,BUF,-10.0
229,0.0,LA,BUF,489,2,2.0,56.0,6,LA,BUF,-10.0
230,12.0,LA,BUF,484,2,3.0,56.0,6,LA,BUF,-10.0
231,3.0,LA,BUF,440,2,1.0,44.0,10,LA,BUF,-10.0
232,6.0,LA,BUF,409,2,1.0,36.0,10,LA,BUF,-10.0
233,-10.0,LA,BUF,372,2,2.0,30.0,4,LA,BUF,-10.0
234,12.0,LA,BUF,342,2,3.0,40.0,14,LA,BUF,-10.0
235,3.0,LA,BUF,294,2,4.0,28.0,2,LA,BUF,-10.0
236,18.0,LA,BUF,254,2,1.0,25.0,10,LA,BUF,-10.0
237,3.0,LA,BUF,222,2,1.0,7.0,7,LA,BUF,-10.0
238,4.0,LA,BUF,185,2,2.0,4.0,4,LA,BUF,-10.0
241,2.0,LA,BUF,180,2,1.0,75.0,10,BUF,LA,3.0
242,-4.0,LA,BUF,142,2,2.0,73.0,8,BUF,LA,3.0
244,0.0,LA,BUF,136,2,3.0,77.0,12,BUF,LA,3.0
245,10.0,LA,BUF,136,2,3.0,72.0,7,BUF,LA,3.0
247,0.0,LA,BUF,120,2,1.0,62.0,10,BUF,LA,3.0
248,0.0,LA,BUF,113,2,1.0,45.0,10,LA,BUF,-3.0
249,0.0,LA,BUF,108,2,2.0,45.0,10,LA,BUF,-3.0
250,0.0,LA,BUF,105,2,3.0,45.0,10,LA,BUF,-3.0
251,9.0,LA,BUF,100,2,1.0,40.0,10,LA,BUF,-3.0
252,0.0,LA,BUF,80,2,2.0,31.0,1,LA,BUF,-3.0
253,2.0,LA,BUF,39,2,3.0,31.0,1,LA,BUF,-3.0
255,-9.0,LA,BUF,34,2,1.0,29.0,10,LA,BUF,-3.0
257,-1.0,LA,BUF,26,2,2.0,38.0,19,LA,BUF,-3.0
259,0.0,LA,BUF,4,2,3.0,39.0,20,LA,BUF,-3.0
262,2.0,LA,BUF,895,3,1.0,89.0,10,LA,BUF,0.0
263,4.0,LA,BUF,869,3,2.0,87.0,8,LA,BUF,0.0
264,-7.0,LA,BUF,826,3,3.0,83.0,4,LA,BUF,0.0
265,0.0,LA,BUF,788,3,4.0,90.0,11,LA,BUF,0.0
266,12.0,LA,BUF,782,3,1.0,58.0,10,BUF,LA,0.0
267,1.0,LA,BUF,742,3,1.0,46.0,10,BUF,LA,0.0
268,7.0,LA,BUF,695,3,2.0,45.0,9,BUF,LA,0.0
269,0.0,LA,BUF,651,3,3.0,38.0,2,BUF,LA,0.0
270,8.0,LA,BUF,634,3,3.0,43.0,7,BUF,LA,0.0
271,13.0,LA,BUF,607,3,1.0,35.0,10,BUF,LA,0.0
272,7.0,LA,BUF,564,3,1.0,22.0,10,BUF,LA,0.0
273,8.0,LA,BUF,525,3,2.0,15.0,3,BUF,LA,0.0
274,7.0,LA,BUF,482,3,1.0,7.0,7,BUF,LA,0.0
277,0.0,LA,BUF,479,3,1.0,75.0,10,LA,BUF,-7.0
278,23.0,LA,BUF,448,3,2.0,75.0,10,LA,BUF,-7.0
279,10.0,LA,BUF,422,3,1.0,52.0,10,LA,BUF,-7.0
280,1.0,LA,BUF,378,3,1.0,42.0,10,LA,BUF,-7.0
281,-9.0,LA,BUF,353,3,2.0,41.0,9,LA,BUF,-7.0
282,0.0,LA,BUF,325,3,3.0,50.0,18,LA,BUF,-7.0
283,0.0,LA,BUF,318,3,4.0,50.0,18,LA,BUF,-7.0
284,0.0,LA,BUF,311,3,1.0,89.0,10,BUF,LA,7.0
285,8.0,LA,BUF,311,3,1.0,94.0,15,BUF,LA,7.0
286,8.0,LA,BUF,269,3,2.0,86.0,7,BUF,LA,7.0
287,0.0,LA,BUF,228,3,1.0,78.0,10,BUF,LA,7.0
288,11.0,LA,BUF,186,3,2.0,78.0,10,BUF,LA,7.0
289,1.0,LA,BUF,145,3,1.0,67.0,10,BUF,LA,7.0
290,4.0,LA,BUF,105,3,2.0,66.0,9,BUF,LA,7.0
291,6.0,LA,BUF,79,3,3.0,62.0,5,BUF,LA,7.0
292,0.0,LA,BUF,37,3,1.0,56.0,10,BUF,LA,7.0
293,3.0,LA,BUF,33,3,2.0,56.0,10,BUF,LA,7.0
295,47.0,LA,BUF,900,4,3.0,53.0,7,BUF,LA,7.0
296,2.0,LA,BUF,854,4,1.0,6.0,6,BUF,LA,7.0
297,0.0,LA,BUF,818,4,2.0,4.0,4,BUF,LA,7.0
298,4.0,LA,BUF,814,4,3.0,4.0,4,BUF,LA,7.0
301,10.0,LA,BUF,803,4,1.0,78.0,10,LA,BUF,-14.0
302,0.0,LA,BUF,773,4,1.0,68.0,10,LA,BUF,-14.0
303,7.0,LA,BUF,745,4,2.0,68.0,10,LA,BUF,-14.0
304,4.0,LA,BUF,698,4,3.0,61.0,3,LA,BUF,-14.0
305,0.0,LA,BUF,670,4,1.0,57.0,10,LA,BUF,-14.0
306,1.0,LA,BUF,661,4,1.0,59.0,10,BUF,LA,14.0
307,5.0,LA,BUF,619,4,2.0,58.0,9,BUF,LA,14.0
308,53.0,LA,BUF,573,4,3.0,53.0,4,BUF,LA,14.0
311,0.0,LA,BUF,561,4,1.0,76.0,10,LA,BUF,-21.0
312,0.0,LA,BUF,557,4,2.0,76.0,10,LA,BUF,-21.0
313,5.0,LA,BUF,557,4,2.0,81.0,15,LA,BUF,-21.0
314,9.0,LA,BUF,530,4,3.0,76.0,10,LA,BUF,-21.0
315,1.0,LA,BUF,503,4,4.0,67.0,1,LA,BUF,-21.0
316,6.0,LA,BUF,471,4,1.0,66.0,10,LA,BUF,-21.0
317,5.0,LA,BUF,449,4,2.0,60.0,4,LA,BUF,-21.0
318,0.0,LA,BUF,426,4,1.0,55.0,10,LA,BUF,-21.0
319,13.0,LA,BUF,418,4,1.0,37.0,10,BUF,LA,21.0
320,4.0,LA,BUF,371,4,1.0,24.0,10,BUF,LA,21.0
321,2.0,LA,BUF,327,4,2.0,20.0,6,BUF,LA,21.0
322,9.0,LA,BUF,317,4,1.0,82.0,10,LA,BUF,-21.0
323,-1.0,LA,BUF,297,4,2.0,73.0,1,LA,BUF,-21.0
324,8.0,LA,BUF,273,4,3.0,74.0,2,LA,BUF,-21.0
325,6.0,LA,BUF,245,4,1.0,66.0,10,LA,BUF,-21.0
326,5.0,LA,BUF,221,4,2.0,60.0,4,LA,BUF,-21.0
327,0.0,LA,BUF,197,4,1.0,55.0,10,LA,BUF,-21.0
328,11.0,LA,BUF,192,4,2.0,55.0,10,LA,BUF,-21.0
329,4.0,LA,BUF,160,4,1.0,44.0,10,LA,BUF,-21.0
330,0.0,LA,BUF,139,4,2.0,40.0,6,LA,BUF,-21.0
332,28.0,LA,BUF,136,4,3.0,40.0,6,LA,BUF,-21.0
334,-6.0,LA,BUF,120,4,1.0,12.0,10,LA,BUF,-21.0
335,2.0,LA,BUF,75,4,2.0,18.0,16,LA,BUF,-21.0
337,0.0,LA,BUF,51,4,3.0,16.0,14,LA,BUF,-21.0
338,0.0,LA,BUF,47,4,4.0,16.0,14,LA,BUF,-21.0
339,-1.0,LA,BUF,41,4,1.0,84.0,10,BUF,LA,21.0
343,0.0,CAR,CLE,896,1,1.0,78.0,10,CAR,CLE,0.0
344,-5.0,CAR,CLE,893,1,2.0,78.0,10,CAR,CLE,0.0
345,4.0,CAR,CLE,848,1,3.0,83.0,15,CAR,CLE,0.0
346,0.0,CAR,CLE,818,1,4.0,79.0,11,CAR,CLE,0.0
347,11.0,CAR,CLE,809,1,1.0,65.0,10,CLE,CAR,0.0
348,2.0,CAR,CLE,767,1,1.0,54.0,10,CLE,CAR,0.0
349,5.0,CAR,CLE,723,1,2.0,52.0,8,CLE,CAR,0.0
351,4.0,CAR,CLE,677,1,3.0,47.0,3,CLE,CAR,0.0
352,6.0,CAR,CLE,640,1,1.0,43.0,10,CLE,CAR,0.0
353,1.0,CAR,CLE,606,1,2.0,37.0,4,CLE,CAR,0.0
354,0.0,CAR,CLE,566,1,3.0,36.0,3,CLE,CAR,0.0
355,0.0,CAR,CLE,560,1,4.0,36.0,3,CLE,CAR,0.0
356,4.0,CAR,CLE,557,1,1.0,64.0,10,CAR,CLE,0.0
357,0.0,CAR,CLE,526,1,2.0,60.0,6,CAR,CLE,0.0
358,3.0,CAR,CLE,495,1,2.0,70.0,16,CAR,CLE,0.0
359,0.0,CAR,CLE,456,1,3.0,67.0,13,CAR,CLE,0.0
360,0.0,CAR,CLE,412,1,4.0,68.0,14,CAR,CLE,0.0
361,0.0,CAR,CLE,405,1,1.0,65.0,10,CLE,CAR,0.0
362,0.0,CAR,CLE,372,1,1.0,75.0,20,CLE,CAR,0.0
363,15.0,CAR,CLE,347,1,2.0,75.0,20,CLE,CAR,0.0
364,0.0,CAR,CLE,304,1,3.0,60.0,5,CLE,CAR,0.0
365,2.0,CAR,CLE,298,1,1.0,55.0,10,CLE,CAR,0.0
366,4.0,CAR,CLE,254,1,2.0,53.0,8,CLE,CAR,0.0
367,6.0,CAR,CLE,219,1,3.0,49.0,4,CLE,CAR,0.0
368,2.0,CAR,CLE,178,1,1.0,43.0,10,CLE,CAR,0.0
369,0.0,CAR,CLE,136,1,2.0,41.0,8,CLE,CAR,0.0
370,0.0,CAR,CLE,127,1,3.0,41.0,8,CLE,CAR,0.0
371,0.0,CAR,CLE,121,1,4.0,41.0,8,CLE,CAR,0.0
372,5.0,CAR,CLE,113,1,1.0,95.0,10,CAR,CLE,0.0
373,0.0,CAR,CLE,77,1,2.0,90.0,5,CAR,CLE,0.0
374,0.0,CAR,CLE,71,1,3.0,90.0,5,CAR,CLE,0.0
375,0.0,CAR,CLE,71,1,3.0,95.0,10,CAR,CLE,0.0
376,3.0,CAR,CLE,66,1,1.0,80.0,10,CAR,CLE,0.0
377,0.0,CAR,CLE,40,1,2.0,77.0,7,CAR,CLE,0.0
378,-8.0,CAR,CLE,35,1,3.0,77.0,7,CAR,CLE,0.0
380,0.0,CAR,CLE,900,2,4.0,92.0,22,CAR,CLE,0.0
381,2.0,CAR,CLE,892,2,1.0,56.0,10,CLE,CAR,0.0
382,0.0,CAR,CLE,850,2,2.0,54.0,8,CLE,CAR,0.0
383,0.0,CAR,CLE,847,2,3.0,54.0,8,CLE,CAR,0.0
384,0.0,CAR,CLE,841,2,4.0,54.0,8,CLE,CAR,0.0
385,8.0,CAR,CLE,834,2,1.0,92.0,10,CAR,CLE,0.0
386,4.0,CAR,CLE,803,2,2.0,84.0,2,CAR,CLE,0.0
387,0.0,CAR,CLE,762,2,1.0,80.0,10,CAR,CLE,0.0
388,0.0,CAR,CLE,757,2,2.0,80.0,10,CAR,CLE,0.0
389,0.0,CAR,CLE,753,2,3.0,80.0,10,CAR,CLE,0.0
390,2.0,CAR,CLE,746,2,1.0,42.0,10,CLE,CAR,0.0
391,5.0,CAR,CLE,700,2,2.0,40.0,8,CLE,CAR,0.0
392,0.0,CAR,CLE,662,2,3.0,35.0,3,CLE,CAR,0.0
393,1.0,CAR,CLE,653,2,1.0,1.0,1,CLE,CAR,0.0
396,-9.0,CAR,CLE,649,2,1.0,75.0,10,CAR,CLE,-7.0
397,0.0,CAR,CLE,607,2,2.0,84.0,19,CAR,CLE,-7.0
398,12.0,CAR,CLE,602,2,3.0,84.0,19,CAR,CLE,-7.0
